"DESCRICAO","ROTULO","COD_CONFIGURACAO","COD_MEDICAO_ETA","VALOR","DT_REGISTRO_PROGRAMADA"
ÁGUA BRUTA,pH,1345,20933936,7.1200,2020-10-01 02:00:00
ÁGUA TRATADA,Alcalinidade,1359,20933944,20.0000,2020-10-01 02:00:00
ÁGUA TRATADA,Cloro residual,1360,20933945,1.9300,2020-10-01 02:00:00
DOSAGENS,Dosagem Sulfato,1332,20932694,8.0000,2020-10-01 02:00:00
ÁGUA TRATADA,Turbidez,1357,20933942,0.3200,2020-10-01 02:00:00
DOSAGENS,Conc. Sulfato,1330,20932682,46.3200,2020-10-01 02:00:00
DOSAGENS,Conc. Sulfato,1330,20932683,46.3200,2020-10-01 03:00:00
FILTROS,Filtro 6,1355,20934949,0.4200,2020-10-01 03:00:00
DOSAGENS,Dosagem Sulfato,1332,20932695,8.0000,2020-10-01 03:00:00
FILTROS,Filtro 2,1351,20934945,0.4200,2020-10-01 03:00:00
FILTROS,Filtro 4,1353,20934947,0.2400,2020-10-01 03:00:00
DOSAGENS,Dosagem Flúor,1342,20934942,18.9600,2020-10-01 03:00:00
ÁGUA TRATADA,Cloro residual,1360,20934950,1.9000,2020-10-01 03:00:00
DOSAGENS,Dens. Sulfato,1331,20932689,1.3220,2020-10-01 03:00:00
ENTRADA DA ETA,Vazão afluente,1324,20934940,1249.0000,2020-10-01 03:00:00
DOSAGENS,Dosagem Sulfato,1333,20934941,81.5900,2020-10-01 03:00:00
FILTROS,Filtro 1,1350,20934944,0.3300,2020-10-01 03:00:00
FILTROS,Filtro 3,1352,20934946,0.2900,2020-10-01 03:00:00
DOSAGENS,Cloro Pós,1339,20932701,16.0000,2020-10-01 03:00:00
DOSAGENS,Dens. Flúor,1341,20932713,1.2038,2020-10-01 03:00:00
RESERVATÓRIO,Nível,1325,20934943,84.0000,2020-10-01 03:00:00
DOSAGENS,Conc. Flúor,1340,20932707,23.0000,2020-10-01 03:00:00
FILTROS,Filtro 5,1354,20934948,0.3400,2020-10-01 03:00:00
ÁGUA COAGULADA,Turbidez,1347,20936393,10.5000,2020-10-01 04:00:00
DOSAGENS,Conc. Flúor,1340,20932708,23.0000,2020-10-01 04:00:00
RESERVATÓRIO,Nível,1325,20936387,84.0000,2020-10-01 04:00:00
ÁGUA BRUTA,Cor,1343,20936389,37.2000,2020-10-01 04:00:00
ÁGUA BRUTA,Turbidez,1344,20936390,7.0500,2020-10-01 04:00:00
ÁGUA TRATADA,pH,1358,20936402,7.1100,2020-10-01 04:00:00
ÁGUA TRATADA,Íon Flúor,1362,20936408,0.7100,2020-10-01 04:00:00
DOSAGENS,Dens. Flúor,1341,20932714,1.2038,2020-10-01 04:00:00
DOSAGENS,Cloro Pós,1339,20932702,16.0000,2020-10-01 04:00:00
ÁGUA BRUTA,Alcalinidade,1346,20936392,15.8000,2020-10-01 04:00:00
ÁGUA COAGULADA,pH,1348,20936394,6.4800,2020-10-01 04:00:00
DOSAGENS,Dosagem Sulfato,1333,20936382,87.9200,2020-10-01 04:00:00
ENTRADA DA ETA,Vazão afluente,1324,20936381,1346.0000,2020-10-01 04:00:00
DOSAGENS,Dens. Sulfato,1331,20932690,1.3220,2020-10-01 04:00:00
COND. AMBIENTAIS,Temp. ar,1349,20936396,23.8000,2020-10-01 04:00:00
ÁGUA TRATADA,Cor,1356,20936398,2.5000,2020-10-01 04:00:00
DOSAGENS,Dosagem Flúor,1342,20936383,20.4300,2020-10-01 04:00:00
ÁGUA BRUTA,pH,1345,20936391,7.1200,2020-10-01 04:00:00
ÁGUA TRATADA,Alcalinidade,1359,20936404,20.0000,2020-10-01 04:00:00
ÁGUA TRATADA,Cloro residual,1360,20936406,1.9200,2020-10-01 04:00:00
DOSAGENS,Dosagem Sulfato,1332,20932696,8.0000,2020-10-01 04:00:00
ÁGUA TRATADA,Turbidez,1357,20936400,0.3600,2020-10-01 04:00:00
DOSAGENS,Conc. Sulfato,1330,20932684,46.3200,2020-10-01 04:00:00
DOSAGENS,Conc. Sulfato,1330,20932685,46.3200,2020-10-01 05:00:00
FILTROS,Filtro 6,1355,20936416,0.4100,2020-10-01 05:00:00
DOSAGENS,Dosagem Sulfato,1332,20932697,8.0000,2020-10-01 05:00:00
FILTROS,Filtro 2,1351,20936412,0.2200,2020-10-01 05:00:00
FILTROS,Filtro 4,1353,20936414,0.3600,2020-10-01 05:00:00
ÁGUA TRATADA,Cloro residual,1360,20936417,1.9400,2020-10-01 05:00:00
DOSAGENS,Dosagem Flúor,1342,20936386,21.0100,2020-10-01 05:00:00
DOSAGENS,Dens. Sulfato,1331,20932691,1.3220,2020-10-01 05:00:00
ENTRADA DA ETA,Vazão afluente,1324,20936384,1384.0000,2020-10-01 05:00:00
DOSAGENS,Dosagem Sulfato,1333,20936385,90.4100,2020-10-01 05:00:00
FILTROS,Filtro 1,1350,20936410,0.3900,2020-10-01 05:00:00
FILTROS,Filtro 3,1352,20936413,0.2500,2020-10-01 05:00:00
DOSAGENS,Cloro Pós,1339,20932703,16.0000,2020-10-01 05:00:00
DOSAGENS,Dens. Flúor,1341,20932715,1.2038,2020-10-01 05:00:00
RESERVATÓRIO,Nível,1325,20936388,82.0000,2020-10-01 05:00:00
DOSAGENS,Conc. Flúor,1340,20932709,23.0000,2020-10-01 05:00:00
FILTROS,Filtro 5,1354,20936415,0.3800,2020-10-01 05:00:00
ÁGUA COAGULADA,Turbidez,1347,20937539,10.3000,2020-10-01 06:00:00
DOSAGENS,Conc. Flúor,1340,20932710,23.0000,2020-10-01 06:00:00
RESERVATÓRIO,Nível,1325,20937534,75.0000,2020-10-01 06:00:00
ÁGUA BRUTA,Cor,1343,20937535,33.7000,2020-10-01 06:00:00
ÁGUA BRUTA,Turbidez,1344,20937536,7.3800,2020-10-01 06:00:00
ÁGUA TRATADA,pH,1358,20937544,6.9200,2020-10-01 06:00:00
ÁGUA TRATADA,Íon Flúor,1362,20937547,0.6300,2020-10-01 06:00:00
DOSAGENS,Dens. Flúor,1341,20932716,1.2038,2020-10-01 06:00:00
DOSAGENS,Cloro Pós,1339,20932704,20.0000,2020-10-01 06:00:00
ÁGUA BRUTA,Alcalinidade,1346,20937538,15.8000,2020-10-01 06:00:00
ÁGUA COAGULADA,pH,1348,20937540,6.4500,2020-10-01 06:00:00
DOSAGENS,Dosagem Sulfato,1333,20937532,132.9300,2020-10-01 06:00:00
DOSAGENS,Dens. Sulfato,1331,20932692,1.3220,2020-10-01 06:00:00
ENTRADA DA ETA,Vazão afluente,1324,20937531,2035.0000,2020-10-01 06:00:00
COND. AMBIENTAIS,Temp. ar,1349,20937541,24.2000,2020-10-01 06:00:00
ÁGUA TRATADA,Cor,1356,20937542,2.5000,2020-10-01 06:00:00
DOSAGENS,Dosagem Flúor,1342,20937533,30.8900,2020-10-01 06:00:00
ÁGUA BRUTA,pH,1345,20937537,7.1200,2020-10-01 06:00:00
ÁGUA TRATADA,Alcalinidade,1359,20937545,19.5000,2020-10-01 06:00:00
ÁGUA TRATADA,Cloro residual,1360,20937546,1.9100,2020-10-01 06:00:00
DOSAGENS,Dosagem Sulfato,1332,20932698,8.0000,2020-10-01 06:00:00
ÁGUA TRATADA,Turbidez,1357,20937543,0.3800,2020-10-01 06:00:00
DOSAGENS,Conc. Sulfato,1330,20932686,46.3200,2020-10-01 06:00:00
DOSAGENS,Conc. Sulfato,1330,20938963,46.3200,2020-10-01 07:00:00
FILTROS,Filtro 6,1355,20939027,0.4000,2020-10-01 07:00:00
DOSAGENS,Dosagem Sulfato,1332,20938985,8.0000,2020-10-01 07:00:00
FILTROS,Filtro 2,1351,20939023,0.3200,2020-10-01 07:00:00
FILTROS,Filtro 4,1353,20939025,0.2900,2020-10-01 07:00:00
DOSAGENS,Dosagem Flúor,1342,20938961,32.4100,2020-10-01 07:00:00
ÁGUA TRATADA,Cloro residual,1360,20939028,1.7300,2020-10-01 07:00:00
ENTRADA DA ETA,Vazão afluente,1324,20938959,2135.0000,2020-10-01 07:00:00
DOSAGENS,Dens. Sulfato,1331,20938974,1.3220,2020-10-01 07:00:00
DOSAGENS,Dosagem Sulfato,1333,20938960,139.4600,2020-10-01 07:00:00
FILTROS,Filtro 1,1350,20939022,0.4000,2020-10-01 07:00:00
FILTROS,Filtro 3,1352,20939024,0.2500,2020-10-01 07:00:00
DOSAGENS,Cloro Pós,1339,20938996,20.0000,2020-10-01 07:00:00
DOSAGENS,Dens. Flúor,1341,20939011,1.2038,2020-10-01 07:00:00
RESERVATÓRIO,Nível,1325,20938962,84.0000,2020-10-01 07:00:00
DOSAGENS,Conc. Flúor,1340,20939000,23.0000,2020-10-01 07:00:00
FILTROS,Filtro 5,1354,20939026,0.2600,2020-10-01 07:00:00
ÁGUA COAGULADA,Turbidez,1347,20940077,11.1000,2020-10-01 08:00:00
DOSAGENS,Conc. Flúor,1340,20939001,23.0000,2020-10-01 08:00:00
RESERVATÓRIO,Nível,1325,20940072,91.0000,2020-10-01 08:00:00
ÁGUA BRUTA,Cor,1343,20940073,35.0000,2020-10-01 08:00:00
ÁGUA BRUTA,Turbidez,1344,20940074,7.5000,2020-10-01 08:00:00
ÁGUA TRATADA,pH,1358,20940082,6.9000,2020-10-01 08:00:00
ÁGUA TRATADA,Íon Flúor,1362,20940085,0.6700,2020-10-01 08:00:00
DOSAGENS,Dens. Flúor,1341,20939012,1.2038,2020-10-01 08:00:00
DOSAGENS,Cloro Pós,1339,20938997,20.0000,2020-10-01 08:00:00
ÁGUA BRUTA,Alcalinidade,1346,20940076,16.0000,2020-10-01 08:00:00
ÁGUA COAGULADA,pH,1348,20940078,6.4800,2020-10-01 08:00:00
DOSAGENS,Dosagem Sulfato,1333,20940070,142.7900,2020-10-01 08:00:00
DOSAGENS,Dens. Sulfato,1331,20938975,1.3220,2020-10-01 08:00:00
ENTRADA DA ETA,Vazão afluente,1324,20940069,2186.0000,2020-10-01 08:00:00
COND. AMBIENTAIS,Temp. ar,1349,20940079,25.3000,2020-10-01 08:00:00
ÁGUA TRATADA,Cor,1356,20940080,2.0000,2020-10-01 08:00:00
DOSAGENS,Dosagem Flúor,1342,20940071,33.1800,2020-10-01 08:00:00
ÁGUA BRUTA,pH,1345,20940075,7.0900,2020-10-01 08:00:00
ÁGUA TRATADA,Alcalinidade,1359,20940083,18.9000,2020-10-01 08:00:00
ÁGUA TRATADA,Cloro residual,1360,20940084,1.7400,2020-10-01 08:00:00
DOSAGENS,Dosagem Sulfato,1332,20938986,8.0000,2020-10-01 08:00:00
ÁGUA TRATADA,Turbidez,1357,20940081,0.4800,2020-10-01 08:00:00
DOSAGENS,Conc. Sulfato,1330,20938964,46.3200,2020-10-01 08:00:00
DOSAGENS,Conc. Sulfato,1330,20938965,46.3200,2020-10-01 09:00:00
FILTROS,Filtro 6,1355,20942708,0.4800,2020-10-01 09:00:00
DOSAGENS,Dosagem Sulfato,1332,20938987,8.0000,2020-10-01 09:00:00
FILTROS,Filtro 2,1351,20942704,0.4500,2020-10-01 09:00:00
FILTROS,Filtro 4,1353,20942706,0.3100,2020-10-01 09:00:00
DOSAGENS,Dosagem Flúor,1342,20942701,23.6800,2020-10-01 09:00:00
ÁGUA TRATADA,Cloro residual,1360,20942709,2.0000,2020-10-01 09:00:00
ENTRADA DA ETA,Vazão afluente,1324,20942699,1560.0000,2020-10-01 09:00:00
DOSAGENS,Dens. Sulfato,1331,20938976,1.3220,2020-10-01 09:00:00
DOSAGENS,Dosagem Sulfato,1333,20942700,101.9000,2020-10-01 09:00:00
FILTROS,Filtro 1,1350,20942703,0.3500,2020-10-01 09:00:00
FILTROS,Filtro 3,1352,20942705,0.4100,2020-10-01 09:00:00
DOSAGENS,Cloro Pós,1339,20938998,16.0000,2020-10-01 09:00:00
DOSAGENS,Dens. Flúor,1341,20939013,1.2038,2020-10-01 09:00:00
RESERVATÓRIO,Nível,1325,20942702,92.0000,2020-10-01 09:00:00
DOSAGENS,Conc. Flúor,1340,20939002,23.0000,2020-10-01 09:00:00
FILTROS,Filtro 5,1354,20942707,0.2800,2020-10-01 09:00:00
ÁGUA COAGULADA,Turbidez,1347,20942926,8.8900,2020-10-01 10:00:00
DOSAGENS,Conc. Flúor,1340,20939003,23.0000,2020-10-01 10:00:00
RESERVATÓRIO,Nível,1325,20942841,88.0000,2020-10-01 10:00:00
ÁGUA BRUTA,Cor,1343,20942922,35.0000,2020-10-01 10:00:00
ÁGUA BRUTA,Turbidez,1344,20942923,6.6500,2020-10-01 10:00:00
ÁGUA TRATADA,pH,1358,20942931,6.9800,2020-10-01 10:00:00
ÁGUA TRATADA,Íon Flúor,1362,20942934,0.6300,2020-10-01 10:00:00
DOSAGENS,Dens. Flúor,1341,20939014,1.2038,2020-10-01 10:00:00
DOSAGENS,Cloro Pós,1339,20938999,16.0000,2020-10-01 10:00:00
ÁGUA BRUTA,Alcalinidade,1346,20942925,16.0000,2020-10-01 10:00:00
ÁGUA COAGULADA,pH,1348,20942927,6.4700,2020-10-01 10:00:00
DOSAGENS,Dosagem Sulfato,1333,20942839,97.5900,2020-10-01 10:00:00
DOSAGENS,Dens. Sulfato,1331,20938977,1.3220,2020-10-01 10:00:00
ENTRADA DA ETA,Vazão afluente,1324,20942838,1494.0000,2020-10-01 10:00:00
COND. AMBIENTAIS,Temp. ar,1349,20942928,25.3000,2020-10-01 10:00:00
ÁGUA TRATADA,Cor,1356,20942929,3.0000,2020-10-01 10:00:00
DOSAGENS,Dosagem Flúor,1342,20942840,22.6800,2020-10-01 10:00:00
ÁGUA BRUTA,pH,1345,20942924,7.0400,2020-10-01 10:00:00
ÁGUA TRATADA,Alcalinidade,1359,20942932,18.9000,2020-10-01 10:00:00
ÁGUA TRATADA,Cloro residual,1360,20942933,2.0100,2020-10-01 10:00:00
DOSAGENS,Dosagem Sulfato,1332,20938988,8.0000,2020-10-01 10:00:00
ÁGUA TRATADA,Turbidez,1357,20942930,0.4000,2020-10-01 10:00:00
DOSAGENS,Conc. Sulfato,1330,20938966,46.3200,2020-10-01 10:00:00
DOSAGENS,Conc. Sulfato,1330,20938967,46.3200,2020-10-01 11:00:00
FILTROS,Filtro 6,1355,20944744,0.5000,2020-10-01 11:00:00
DOSAGENS,Dosagem Sulfato,1332,20938989,8.0000,2020-10-01 11:00:00
FILTROS,Filtro 2,1351,20944740,0.4800,2020-10-01 11:00:00
FILTROS,Filtro 4,1353,20944742,0.3600,2020-10-01 11:00:00
DOSAGENS,Dosagem Flúor,1342,20944736,22.6500,2020-10-01 11:00:00
ÁGUA TRATADA,Cloro residual,1360,20944745,2.2000,2020-10-01 11:00:00
ENTRADA DA ETA,Vazão afluente,1324,20944734,1492.0000,2020-10-01 11:00:00
DOSAGENS,Dens. Sulfato,1331,20938978,1.3220,2020-10-01 11:00:00
DOSAGENS,Dosagem Sulfato,1333,20944735,97.4600,2020-10-01 11:00:00
FILTROS,Filtro 1,1350,20944739,0.2500,2020-10-01 11:00:00
FILTROS,Filtro 3,1352,20944741,0.4400,2020-10-01 11:00:00
DOSAGENS,Cloro Pós,1339,20944738,16.0000,2020-10-01 11:00:00
DOSAGENS,Dens. Flúor,1341,20939015,1.2038,2020-10-01 11:00:00
RESERVATÓRIO,Nível,1325,20944737,79.0000,2020-10-01 11:00:00
DOSAGENS,Conc. Flúor,1340,20939004,23.0000,2020-10-01 11:00:00
FILTROS,Filtro 5,1354,20944743,0.3500,2020-10-01 11:00:00
DOSAGENS,Conc. Flúor,1340,20939005,23.0000,2020-10-01 12:00:00
ÁGUA COAGULADA,Turbidez,1347,20945514,8.9000,2020-10-01 12:00:00
RESERVATÓRIO,Nível,1325,20945508,78.0000,2020-10-01 12:00:00
ÁGUA BRUTA,Cor,1343,20945510,35.0000,2020-10-01 12:00:00
ÁGUA BRUTA,Turbidez,1344,20945511,6.6800,2020-10-01 12:00:00
ÁGUA TRATADA,pH,1358,20945519,6.8900,2020-10-01 12:00:00
ÁGUA TRATADA,Íon Flúor,1362,20945522,0.6600,2020-10-01 12:00:00
DOSAGENS,Dens. Flúor,1341,20939016,1.2038,2020-10-01 12:00:00
DOSAGENS,Cloro Pós,1339,20945509,20.0000,2020-10-01 12:00:00
ÁGUA BRUTA,Alcalinidade,1346,20945513,16.0000,2020-10-01 12:00:00
ÁGUA COAGULADA,pH,1348,20945515,6.5300,2020-10-01 12:00:00
DOSAGENS,Dosagem Sulfato,1333,20945506,129.9300,2020-10-01 12:00:00
DOSAGENS,Dens. Sulfato,1331,20938979,1.3220,2020-10-01 12:00:00
ENTRADA DA ETA,Vazão afluente,1324,20945505,1989.0000,2020-10-01 12:00:00
COND. AMBIENTAIS,Temp. ar,1349,20945516,27.1000,2020-10-01 12:00:00
ÁGUA TRATADA,Cor,1356,20945517,2.0000,2020-10-01 12:00:00
DOSAGENS,Dosagem Flúor,1342,20945507,30.1900,2020-10-01 12:00:00
ÁGUA BRUTA,pH,1345,20945512,7.0800,2020-10-01 12:00:00
ÁGUA TRATADA,Alcalinidade,1359,20945520,18.9000,2020-10-01 12:00:00
ÁGUA TRATADA,Cloro residual,1360,20945521,1.9300,2020-10-01 12:00:00
DOSAGENS,Dosagem Sulfato,1332,20938990,8.0000,2020-10-01 12:00:00
DOSAGENS,Conc. Sulfato,1330,20938968,46.3200,2020-10-01 12:00:00
ÁGUA TRATADA,Turbidez,1357,20945518,0.2800,2020-10-01 12:00:00
FILTROS,Filtro 6,1355,20947394,0.5200,2020-10-01 13:00:00
DOSAGENS,Conc. Sulfato,1330,20938969,46.3200,2020-10-01 13:00:00
DOSAGENS,Dosagem Sulfato,1332,20938991,8.0000,2020-10-01 13:00:00
FILTROS,Filtro 2,1351,20947390,0.2500,2020-10-01 13:00:00
FILTROS,Filtro 4,1353,20947392,0.3200,2020-10-01 13:00:00
DOSAGENS,Dosagem Flúor,1342,20947344,28.9800,2020-10-01 13:00:00
ÁGUA TRATADA,Cloro residual,1360,20947395,1.6800,2020-10-01 13:00:00
ENTRADA DA ETA,Vazão afluente,1324,20947342,1909.0000,2020-10-01 13:00:00
DOSAGENS,Dens. Sulfato,1331,20938980,1.3220,2020-10-01 13:00:00
DOSAGENS,Dosagem Sulfato,1333,20947343,124.7000,2020-10-01 13:00:00
FILTROS,Filtro 1,1350,20947389,0.3200,2020-10-01 13:00:00
FILTROS,Filtro 3,1352,20947391,0.4500,2020-10-01 13:00:00
DOSAGENS,Cloro Pós,1339,20947346,20.0000,2020-10-01 13:00:00
DOSAGENS,Dens. Flúor,1341,20939017,1.2038,2020-10-01 13:00:00
RESERVATÓRIO,Nível,1325,20947345,75.0000,2020-10-01 13:00:00
FILTROS,Filtro 5,1354,20947393,0.2900,2020-10-01 13:00:00
DOSAGENS,Conc. Flúor,1340,20939006,23.0000,2020-10-01 13:00:00
DOSAGENS,Conc. Flúor,1340,20939007,23.0000,2020-10-01 14:00:00
ÁGUA COAGULADA,Turbidez,1347,20948667,8.8000,2020-10-01 14:00:00
RESERVATÓRIO,Nível,1325,20947846,73.0000,2020-10-01 14:00:00
ÁGUA BRUTA,Cor,1343,20948663,36.0000,2020-10-01 14:00:00
ÁGUA BRUTA,Turbidez,1344,20948664,6.5400,2020-10-01 14:00:00
ÁGUA TRATADA,pH,1358,20948672,6.8800,2020-10-01 14:00:00
ÁGUA TRATADA,Íon Flúor,1362,20948675,0.7200,2020-10-01 14:00:00
DOSAGENS,Dens. Flúor,1341,20939018,1.2038,2020-10-01 14:00:00
DOSAGENS,Cloro Pós,1339,20947847,20.0000,2020-10-01 14:00:00
ÁGUA BRUTA,Alcalinidade,1346,20948666,16.0000,2020-10-01 14:00:00
ÁGUA COAGULADA,pH,1348,20948668,6.5200,2020-10-01 14:00:00
DOSAGENS,Dosagem Sulfato,1333,20947844,124.9600,2020-10-01 14:00:00
DOSAGENS,Dens. Sulfato,1331,20938981,1.3220,2020-10-01 14:00:00
ENTRADA DA ETA,Vazão afluente,1324,20947843,1913.0000,2020-10-01 14:00:00
COND. AMBIENTAIS,Temp. ar,1349,20948669,27.0000,2020-10-01 14:00:00
ÁGUA TRATADA,Cor,1356,20948670,3.0000,2020-10-01 14:00:00
DOSAGENS,Dosagem Flúor,1342,20947845,29.0400,2020-10-01 14:00:00
ÁGUA BRUTA,pH,1345,20948665,7.0500,2020-10-01 14:00:00
ÁGUA TRATADA,Alcalinidade,1359,20948673,18.9000,2020-10-01 14:00:00
ÁGUA TRATADA,Cloro residual,1360,20948674,1.7800,2020-10-01 14:00:00
DOSAGENS,Dosagem Sulfato,1332,20938992,8.0000,2020-10-01 14:00:00
DOSAGENS,Conc. Sulfato,1330,20938970,46.3200,2020-10-01 14:00:00
ÁGUA TRATADA,Turbidez,1357,20948671,0.3000,2020-10-01 14:00:00
FILTROS,Filtro 6,1355,20950568,0.5500,2020-10-01 15:00:00
DOSAGENS,Conc. Sulfato,1330,20938971,46.3200,2020-10-01 15:00:00
DOSAGENS,Dosagem Sulfato,1332,20938993,8.0000,2020-10-01 15:00:00
FILTROS,Filtro 2,1351,20950564,0.4500,2020-10-01 15:00:00
FILTROS,Filtro 4,1353,20950566,0.5900,2020-10-01 15:00:00
DOSAGENS,Dosagem Flúor,1342,20950560,29.7800,2020-10-01 15:00:00
ÁGUA TRATADA,Cloro residual,1360,20950569,1.7600,2020-10-01 15:00:00
ENTRADA DA ETA,Vazão afluente,1324,20950558,1962.0000,2020-10-01 15:00:00
DOSAGENS,Dens. Sulfato,1331,20938982,1.3220,2020-10-01 15:00:00
DOSAGENS,Dosagem Sulfato,1333,20950559,128.1600,2020-10-01 15:00:00
FILTROS,Filtro 1,1350,20950563,0.2500,2020-10-01 15:00:00
FILTROS,Filtro 3,1352,20950565,0.4800,2020-10-01 15:00:00
DOSAGENS,Cloro Pós,1339,20950562,20.0000,2020-10-01 15:00:00
DOSAGENS,Dens. Flúor,1341,20939019,1.2038,2020-10-01 15:00:00
RESERVATÓRIO,Nível,1325,20950561,75.0000,2020-10-01 15:00:00
FILTROS,Filtro 5,1354,20950567,0.5700,2020-10-01 15:00:00
DOSAGENS,Conc. Flúor,1340,20939008,23.0000,2020-10-01 15:00:00
DOSAGENS,Conc. Flúor,1340,20939009,23.0000,2020-10-01 16:00:00
ÁGUA COAGULADA,Turbidez,1347,20951339,8.9800,2020-10-01 16:00:00
RESERVATÓRIO,Nível,1325,20951333,77.0000,2020-10-01 16:00:00
ÁGUA BRUTA,Cor,1343,20951335,35.0000,2020-10-01 16:00:00
ÁGUA BRUTA,Turbidez,1344,20951336,6.6800,2020-10-01 16:00:00
ÁGUA TRATADA,pH,1358,20951344,7.0300,2020-10-01 16:00:00
ÁGUA TRATADA,Íon Flúor,1362,20951347,0.6900,2020-10-01 16:00:00
