"descricao","rotulo","cod_configuracao","cod_medicao","cod_unidade_operacional","dt_registro_programada","status_liberacao","valor"
COND. AMBIENTAIS,Temp. ar,1349,20936396,73,2020-10-01 04:00:00,R,23.8000
ÁGUA TRATADA,Cor,1356,20936398,73,2020-10-01 04:00:00,R,2.5000
ÁGUA TRATADA,Turbidez,1357,20936400,73,2020-10-01 04:00:00,R,0.3600
ÁGUA TRATADA,pH,1358,20936402,73,2020-10-01 04:00:00,R,7.1100
ÁGUA TRATADA,Alcalinidade,1359,20936404,73,2020-10-01 04:00:00,R,20.0000
ÁGUA TRATADA,Cloro residual,1360,20936406,73,2020-10-01 04:00:00,R,1.9200
ÁGUA TRATADA,Íon Flúor,1362,20936408,73,2020-10-01 04:00:00,R,0.7100
DOSAGENS,Conc. Sulfato,1330,20932685,73,2020-10-01 05:00:00,R,46.3200
DOSAGENS,Dens. Sulfato,1331,20932691,73,2020-10-01 05:00:00,R,1.3220
DOSAGENS,Dosagem Sulfato,1332,20932697,73,2020-10-01 05:00:00,R,8.0000
DOSAGENS,Cloro Pós,1339,20932703,73,2020-10-01 05:00:00,R,16.0000
DOSAGENS,Conc. Flúor,1340,20932709,73,2020-10-01 05:00:00,R,23.0000
DOSAGENS,Dens. Flúor,1341,20932715,73,2020-10-01 05:00:00,R,1.2038
ENTRADA DA ETA,Vazão afluente,1324,20936384,73,2020-10-01 05:00:00,R,1384.0000
DOSAGENS,Dosagem Sulfato,1333,20936385,73,2020-10-01 05:00:00,R,90.4100
DOSAGENS,Dosagem Flúor,1342,20936386,73,2020-10-01 05:00:00,R,21.0100
RESERVATÓRIO,Nível,1325,20936388,73,2020-10-01 05:00:00,R,82.0000
FILTROS,Filtro 1,1350,20936410,73,2020-10-01 05:00:00,R,0.3900
FILTROS,Filtro 2,1351,20936412,73,2020-10-01 05:00:00,R,0.2200
FILTROS,Filtro 3,1352,20936413,73,2020-10-01 05:00:00,R,0.2500
FILTROS,Filtro 4,1353,20936414,73,2020-10-01 05:00:00,R,0.3600
FILTROS,Filtro 5,1354,20936415,73,2020-10-01 05:00:00,R,0.3800
FILTROS,Filtro 6,1355,20936416,73,2020-10-01 05:00:00,R,0.4100
ÁGUA TRATADA,Cloro residual,1360,20936417,73,2020-10-01 05:00:00,R,1.9400
DOSAGENS,Conc. Sulfato,1330,20932686,73,2020-10-01 06:00:00,R,46.3200
DOSAGENS,Dens. Sulfato,1331,20932692,73,2020-10-01 06:00:00,R,1.3220
DOSAGENS,Dosagem Sulfato,1332,20932698,73,2020-10-01 06:00:00,R,8.0000
DOSAGENS,Cloro Pós,1339,20932704,73,2020-10-01 06:00:00,R,20.0000
DOSAGENS,Conc. Flúor,1340,20932710,73,2020-10-01 06:00:00,R,23.0000
DOSAGENS,Dens. Flúor,1341,20932716,73,2020-10-01 06:00:00,R,1.2038
ENTRADA DA ETA,Vazão afluente,1324,20937531,73,2020-10-01 06:00:00,R,2035.0000
DOSAGENS,Dosagem Sulfato,1333,20937532,73,2020-10-01 06:00:00,R,132.9300
DOSAGENS,Dosagem Flúor,1342,20937533,73,2020-10-01 06:00:00,R,30.8900
RESERVATÓRIO,Nível,1325,20937534,73,2020-10-01 06:00:00,R,75.0000
ÁGUA BRUTA,Cor,1343,20937535,73,2020-10-01 06:00:00,R,33.7000
ÁGUA BRUTA,Turbidez,1344,20937536,73,2020-10-01 06:00:00,R,7.3800
ÁGUA BRUTA,pH,1345,20937537,73,2020-10-01 06:00:00,R,7.1200
ÁGUA BRUTA,Alcalinidade,1346,20937538,73,2020-10-01 06:00:00,R,15.8000
ÁGUA COAGULADA,Turbidez,1347,20937539,73,2020-10-01 06:00:00,R,10.3000
ÁGUA COAGULADA,pH,1348,20937540,73,2020-10-01 06:00:00,R,6.4500
COND. AMBIENTAIS,Temp. ar,1349,20937541,73,2020-10-01 06:00:00,R,24.2000
ÁGUA TRATADA,Cor,1356,20937542,73,2020-10-01 06:00:00,R,2.5000
ÁGUA TRATADA,Turbidez,1357,20937543,73,2020-10-01 06:00:00,R,0.3800
ÁGUA TRATADA,pH,1358,20937544,73,2020-10-01 06:00:00,R,6.9200
ÁGUA TRATADA,Alcalinidade,1359,20937545,73,2020-10-01 06:00:00,R,19.5000
ÁGUA TRATADA,Cloro residual,1360,20937546,73,2020-10-01 06:00:00,R,1.9100
ÁGUA TRATADA,Íon Flúor,1362,20937547,73,2020-10-01 06:00:00,R,0.6300
ENTRADA DA ETA,Vazão afluente,1324,20938959,73,2020-10-01 07:00:00,R,2135.0000
DOSAGENS,Dosagem Sulfato,1333,20938960,73,2020-10-01 07:00:00,R,139.4600
DOSAGENS,Dosagem Flúor,1342,20938961,73,2020-10-01 07:00:00,R,32.4100
RESERVATÓRIO,Nível,1325,20938962,73,2020-10-01 07:00:00,R,84.0000
DOSAGENS,Conc. Sulfato,1330,20938963,73,2020-10-01 07:00:00,R,46.3200
DOSAGENS,Dens. Sulfato,1331,20938974,73,2020-10-01 07:00:00,R,1.3220
DOSAGENS,Dosagem Sulfato,1332,20938985,73,2020-10-01 07:00:00,R,8.0000
DOSAGENS,Cloro Pós,1339,20938996,73,2020-10-01 07:00:00,R,20.0000
DOSAGENS,Conc. Flúor,1340,20939000,73,2020-10-01 07:00:00,R,23.0000
DOSAGENS,Dens. Flúor,1341,20939011,73,2020-10-01 07:00:00,R,1.2038
FILTROS,Filtro 1,1350,20939022,73,2020-10-01 07:00:00,R,0.4000
FILTROS,Filtro 2,1351,20939023,73,2020-10-01 07:00:00,R,0.3200
FILTROS,Filtro 3,1352,20939024,73,2020-10-01 07:00:00,R,0.2500
FILTROS,Filtro 4,1353,20939025,73,2020-10-01 07:00:00,R,0.2900
FILTROS,Filtro 5,1354,20939026,73,2020-10-01 07:00:00,R,0.2600
FILTROS,Filtro 6,1355,20939027,73,2020-10-01 07:00:00,R,0.4000
ÁGUA TRATADA,Cloro residual,1360,20939028,73,2020-10-01 07:00:00,R,1.7300
DOSAGENS,Conc. Sulfato,1330,20938964,73,2020-10-01 08:00:00,R,46.3200
DOSAGENS,Dens. Sulfato,1331,20938975,73,2020-10-01 08:00:00,R,1.3220
DOSAGENS,Dosagem Sulfato,1332,20938986,73,2020-10-01 08:00:00,R,8.0000
DOSAGENS,Cloro Pós,1339,20938997,73,2020-10-01 08:00:00,R,20.0000
DOSAGENS,Conc. Flúor,1340,20939001,73,2020-10-01 08:00:00,R,23.0000
DOSAGENS,Dens. Flúor,1341,20939012,73,2020-10-01 08:00:00,R,1.2038
ENTRADA DA ETA,Vazão afluente,1324,20940069,73,2020-10-01 08:00:00,R,2186.0000
DOSAGENS,Dosagem Sulfato,1333,20940070,73,2020-10-01 08:00:00,R,142.7900
DOSAGENS,Dosagem Flúor,1342,20940071,73,2020-10-01 08:00:00,R,33.1800
RESERVATÓRIO,Nível,1325,20940072,73,2020-10-01 08:00:00,R,91.0000
ÁGUA BRUTA,Cor,1343,20940073,73,2020-10-01 08:00:00,R,35.0000
ÁGUA BRUTA,Turbidez,1344,20940074,73,2020-10-01 08:00:00,R,7.5000
ÁGUA BRUTA,pH,1345,20940075,73,2020-10-01 08:00:00,R,7.0900
ÁGUA BRUTA,Alcalinidade,1346,20940076,73,2020-10-01 08:00:00,R,16.0000
ÁGUA COAGULADA,Turbidez,1347,20940077,73,2020-10-01 08:00:00,R,11.1000
ÁGUA COAGULADA,pH,1348,20940078,73,2020-10-01 08:00:00,R,6.4800
COND. AMBIENTAIS,Temp. ar,1349,20940079,73,2020-10-01 08:00:00,R,25.3000
ÁGUA TRATADA,Cor,1356,20940080,73,2020-10-01 08:00:00,R,2.0000
ÁGUA TRATADA,Turbidez,1357,20940081,73,2020-10-01 08:00:00,R,0.4800
ÁGUA TRATADA,pH,1358,20940082,73,2020-10-01 08:00:00,R,6.9000
ÁGUA TRATADA,Alcalinidade,1359,20940083,73,2020-10-01 08:00:00,R,18.9000
ÁGUA TRATADA,Cloro residual,1360,20940084,73,2020-10-01 08:00:00,R,1.7400
ÁGUA TRATADA,Íon Flúor,1362,20940085,73,2020-10-01 08:00:00,R,0.6700
DOSAGENS,Conc. Sulfato,1330,20938965,73,2020-10-01 09:00:00,R,46.3200
DOSAGENS,Dens. Sulfato,1331,20938976,73,2020-10-01 09:00:00,R,1.3220
DOSAGENS,Dosagem Sulfato,1332,20938987,73,2020-10-01 09:00:00,R,8.0000
DOSAGENS,Cloro Pós,1339,20938998,73,2020-10-01 09:00:00,R,16.0000
DOSAGENS,Conc. Flúor,1340,20939002,73,2020-10-01 09:00:00,R,23.0000
DOSAGENS,Dens. Flúor,1341,20939013,73,2020-10-01 09:00:00,R,1.2038
ENTRADA DA ETA,Vazão afluente,1324,20942699,73,2020-10-01 09:00:00,R,1560.0000
DOSAGENS,Dosagem Sulfato,1333,20942700,73,2020-10-01 09:00:00,R,101.9000
DOSAGENS,Dosagem Flúor,1342,20942701,73,2020-10-01 09:00:00,R,23.6800
RESERVATÓRIO,Nível,1325,20942702,73,2020-10-01 09:00:00,R,92.0000
FILTROS,Filtro 1,1350,20942703,73,2020-10-01 09:00:00,R,0.3500
FILTROS,Filtro 2,1351,20942704,73,2020-10-01 09:00:00,R,0.4500
FILTROS,Filtro 3,1352,20942705,73,2020-10-01 09:00:00,R,0.4100
FILTROS,Filtro 4,1353,20942706,73,2020-10-01 09:00:00,R,0.3100
FILTROS,Filtro 5,1354,20942707,73,2020-10-01 09:00:00,R,0.2800
FILTROS,Filtro 6,1355,20942708,73,2020-10-01 09:00:00,R,0.4800
ÁGUA TRATADA,Cloro residual,1360,20942709,73,2020-10-01 09:00:00,R,2.0000
DOSAGENS,Conc. Sulfato,1330,20938966,73,2020-10-01 10:00:00,R,46.3200
DOSAGENS,Dens. Sulfato,1331,20938977,73,2020-10-01 10:00:00,R,1.3220
DOSAGENS,Dosagem Sulfato,1332,20938988,73,2020-10-01 10:00:00,R,8.0000
DOSAGENS,Cloro Pós,1339,20938999,73,2020-10-01 10:00:00,R,16.0000
DOSAGENS,Conc. Flúor,1340,20939003,73,2020-10-01 10:00:00,R,23.0000
DOSAGENS,Dens. Flúor,1341,20939014,73,2020-10-01 10:00:00,R,1.2038
ENTRADA DA ETA,Vazão afluente,1324,20942838,73,2020-10-01 10:00:00,R,1494.0000
DOSAGENS,Dosagem Sulfato,1333,20942839,73,2020-10-01 10:00:00,R,97.5900
DOSAGENS,Dosagem Flúor,1342,20942840,73,2020-10-01 10:00:00,R,22.6800
RESERVATÓRIO,Nível,1325,20942841,73,2020-10-01 10:00:00,R,88.0000
ÁGUA BRUTA,Cor,1343,20942922,73,2020-10-01 10:00:00,R,35.0000
ÁGUA BRUTA,Turbidez,1344,20942923,73,2020-10-01 10:00:00,R,6.6500
ÁGUA BRUTA,pH,1345,20942924,73,2020-10-01 10:00:00,R,7.0400
ÁGUA BRUTA,Alcalinidade,1346,20942925,73,2020-10-01 10:00:00,R,16.0000
ÁGUA COAGULADA,Turbidez,1347,20942926,73,2020-10-01 10:00:00,R,8.8900
ÁGUA COAGULADA,pH,1348,20942927,73,2020-10-01 10:00:00,R,6.4700
COND. AMBIENTAIS,Temp. ar,1349,20942928,73,2020-10-01 10:00:00,R,25.3000
ÁGUA TRATADA,Cor,1356,20942929,73,2020-10-01 10:00:00,R,3.0000
ÁGUA TRATADA,Turbidez,1357,20942930,73,2020-10-01 10:00:00,R,0.4000
ÁGUA TRATADA,pH,1358,20942931,73,2020-10-01 10:00:00,R,6.9800
ÁGUA TRATADA,Alcalinidade,1359,20942932,73,2020-10-01 10:00:00,R,18.9000
ÁGUA TRATADA,Cloro residual,1360,20942933,73,2020-10-01 10:00:00,R,2.0100
ÁGUA TRATADA,Íon Flúor,1362,20942934,73,2020-10-01 10:00:00,R,0.6300
DOSAGENS,Conc. Sulfato,1330,20938967,73,2020-10-01 11:00:00,R,46.3200
DOSAGENS,Dens. Sulfato,1331,20938978,73,2020-10-01 11:00:00,R,1.3220
DOSAGENS,Dosagem Sulfato,1332,20938989,73,2020-10-01 11:00:00,R,8.0000
DOSAGENS,Conc. Flúor,1340,20939004,73,2020-10-01 11:00:00,R,23.0000
DOSAGENS,Dens. Flúor,1341,20939015,73,2020-10-01 11:00:00,R,1.2038
ENTRADA DA ETA,Vazão afluente,1324,20944734,73,2020-10-01 11:00:00,R,1492.0000
DOSAGENS,Dosagem Sulfato,1333,20944735,73,2020-10-01 11:00:00,R,97.4600
DOSAGENS,Dosagem Flúor,1342,20944736,73,2020-10-01 11:00:00,R,22.6500
RESERVATÓRIO,Nível,1325,20944737,73,2020-10-01 11:00:00,R,79.0000
DOSAGENS,Cloro Pós,1339,20944738,73,2020-10-01 11:00:00,R,16.0000
FILTROS,Filtro 1,1350,20944739,73,2020-10-01 11:00:00,R,0.2500
FILTROS,Filtro 2,1351,20944740,73,2020-10-01 11:00:00,R,0.4800
FILTROS,Filtro 3,1352,20944741,73,2020-10-01 11:00:00,R,0.4400
FILTROS,Filtro 4,1353,20944742,73,2020-10-01 11:00:00,R,0.3600
FILTROS,Filtro 5,1354,20944743,73,2020-10-01 11:00:00,R,0.3500
FILTROS,Filtro 6,1355,20944744,73,2020-10-01 11:00:00,R,0.5000
ÁGUA TRATADA,Cloro residual,1360,20944745,73,2020-10-01 11:00:00,R,2.2000
DOSAGENS,Conc. Sulfato,1330,20938968,73,2020-10-01 12:00:00,R,46.3200
DOSAGENS,Dens. Sulfato,1331,20938979,73,2020-10-01 12:00:00,R,1.3220
DOSAGENS,Dosagem Sulfato,1332,20938990,73,2020-10-01 12:00:00,R,8.0000
DOSAGENS,Conc. Flúor,1340,20939005,73,2020-10-01 12:00:00,R,23.0000
DOSAGENS,Dens. Flúor,1341,20939016,73,2020-10-01 12:00:00,R,1.2038
ENTRADA DA ETA,Vazão afluente,1324,20945505,73,2020-10-01 12:00:00,R,1989.0000
DOSAGENS,Dosagem Sulfato,1333,20945506,73,2020-10-01 12:00:00,R,129.9300
DOSAGENS,Dosagem Flúor,1342,20945507,73,2020-10-01 12:00:00,R,30.1900
RESERVATÓRIO,Nível,1325,20945508,73,2020-10-01 12:00:00,R,78.0000
DOSAGENS,Cloro Pós,1339,20945509,73,2020-10-01 12:00:00,R,20.0000
ÁGUA BRUTA,Cor,1343,20945510,73,2020-10-01 12:00:00,R,35.0000
ÁGUA BRUTA,Turbidez,1344,20945511,73,2020-10-01 12:00:00,R,6.6800
ÁGUA BRUTA,pH,1345,20945512,73,2020-10-01 12:00:00,R,7.0800
ÁGUA BRUTA,Alcalinidade,1346,20945513,73,2020-10-01 12:00:00,R,16.0000
ÁGUA COAGULADA,Turbidez,1347,20945514,73,2020-10-01 12:00:00,R,8.9000
ÁGUA COAGULADA,pH,1348,20945515,73,2020-10-01 12:00:00,R,6.5300
COND. AMBIENTAIS,Temp. ar,1349,20945516,73,2020-10-01 12:00:00,R,27.1000
ÁGUA TRATADA,Cor,1356,20945517,73,2020-10-01 12:00:00,R,2.0000
ÁGUA TRATADA,Turbidez,1357,20945518,73,2020-10-01 12:00:00,R,0.2800
ÁGUA TRATADA,pH,1358,20945519,73,2020-10-01 12:00:00,R,6.8900
ÁGUA TRATADA,Alcalinidade,1359,20945520,73,2020-10-01 12:00:00,R,18.9000
ÁGUA TRATADA,Cloro residual,1360,20945521,73,2020-10-01 12:00:00,R,1.9300
ÁGUA TRATADA,Íon Flúor,1362,20945522,73,2020-10-01 12:00:00,R,0.6600
DOSAGENS,Conc. Sulfato,1330,20938969,73,2020-10-01 13:00:00,R,46.3200
DOSAGENS,Dens. Sulfato,1331,20938980,73,2020-10-01 13:00:00,R,1.3220
DOSAGENS,Dosagem Sulfato,1332,20938991,73,2020-10-01 13:00:00,R,8.0000
DOSAGENS,Conc. Flúor,1340,20939006,73,2020-10-01 13:00:00,R,23.0000
DOSAGENS,Dens. Flúor,1341,20939017,73,2020-10-01 13:00:00,R,1.2038
ENTRADA DA ETA,Vazão afluente,1324,20947342,73,2020-10-01 13:00:00,R,1909.0000
DOSAGENS,Dosagem Sulfato,1333,20947343,73,2020-10-01 13:00:00,R,124.7000
DOSAGENS,Dosagem Flúor,1342,20947344,73,2020-10-01 13:00:00,R,28.9800
RESERVATÓRIO,Nível,1325,20947345,73,2020-10-01 13:00:00,R,75.0000
DOSAGENS,Cloro Pós,1339,20947346,73,2020-10-01 13:00:00,R,20.0000
FILTROS,Filtro 1,1350,20947389,73,2020-10-01 13:00:00,R,0.3200
FILTROS,Filtro 2,1351,20947390,73,2020-10-01 13:00:00,R,0.2500
FILTROS,Filtro 3,1352,20947391,73,2020-10-01 13:00:00,R,0.4500
FILTROS,Filtro 4,1353,20947392,73,2020-10-01 13:00:00,R,0.3200
FILTROS,Filtro 5,1354,20947393,73,2020-10-01 13:00:00,R,0.2900
FILTROS,Filtro 6,1355,20947394,73,2020-10-01 13:00:00,R,0.5200
ÁGUA TRATADA,Cloro residual,1360,20947395,73,2020-10-01 13:00:00,R,1.6800
DOSAGENS,Conc. Sulfato,1330,20938970,73,2020-10-01 14:00:00,R,46.3200
DOSAGENS,Dens. Sulfato,1331,20938981,73,2020-10-01 14:00:00,R,1.3220
DOSAGENS,Dosagem Sulfato,1332,20938992,73,2020-10-01 14:00:00,R,8.0000
DOSAGENS,Conc. Flúor,1340,20939007,73,2020-10-01 14:00:00,R,23.0000
DOSAGENS,Dens. Flúor,1341,20939018,73,2020-10-01 14:00:00,R,1.2038
ENTRADA DA ETA,Vazão afluente,1324,20947843,73,2020-10-01 14:00:00,R,1913.0000
DOSAGENS,Dosagem Sulfato,1333,20947844,73,2020-10-01 14:00:00,R,124.9600
DOSAGENS,Dosagem Flúor,1342,20947845,73,2020-10-01 14:00:00,R,29.0400
RESERVATÓRIO,Nível,1325,20947846,73,2020-10-01 14:00:00,R,73.0000
DOSAGENS,Cloro Pós,1339,20947847,73,2020-10-01 14:00:00,R,20.0000
ÁGUA BRUTA,Cor,1343,20948663,73,2020-10-01 14:00:00,R,36.0000
ÁGUA BRUTA,Turbidez,1344,20948664,73,2020-10-01 14:00:00,R,6.5400
ÁGUA BRUTA,pH,1345,20948665,73,2020-10-01 14:00:00,R,7.0500
ÁGUA BRUTA,Alcalinidade,1346,20948666,73,2020-10-01 14:00:00,R,16.0000
ÁGUA COAGULADA,Turbidez,1347,20948667,73,2020-10-01 14:00:00,R,8.8000
ÁGUA COAGULADA,pH,1348,20948668,73,2020-10-01 14:00:00,R,6.5200
COND. AMBIENTAIS,Temp. ar,1349,20948669,73,2020-10-01 14:00:00,R,27.0000
ÁGUA TRATADA,Cor,1356,20948670,73,2020-10-01 14:00:00,R,3.0000
